Features,Weights
EngineV,0.2161632208463124
Year,0.5620910718710707
Brand_BMW,0.06355639996524957
Brand_Mercedes-Benz,-0.024285240828639563
Brand_Mitsubishi,-0.4699342391227609
Brand_Renault,-0.6331951614778158
Brand_Toyota,-0.21577566801674183
Brand_Volkswagen,-0.25368273177465706
Body_hatch,-0.35547118213843704
Body_other,-0.23897255234828613
Body_sedan,-0.30345729895409645
Body_vagon,-0.35728288235551825
Body_van,-0.4511792701410536
Engine Type_Gas,-0.10852483178777414
Engine Type_Other,-0.08090763683922297
Engine Type_Petrol,-0.09115075017998796
Registration_yes,0.8722045107917856
